Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||61. Agreement on Statements on Corruption in Local Offices - ALL
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|61. Agreement on Statements on Corruption in Local Offices - ALL
BASE - Total interviews:|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - ALL
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|61. Agreement on Statements on Corruption in Local Offices - ALL
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|61. Agreement on Statements on Corruption in Local Offices - ALL
|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - ALL
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|61. Agreement on Statements on Corruption in Local Offices - ALL
|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - ALL
Local BIR offices|6.8|8.2|14.7|10.0|7.5|7.4|4.7|6.1|7.0|7.5|6.4|6.8|6.8|6.9|7.2|5.4|8.4|5.5|61. Agreement on Statements on Corruption in Local Offices - ALL
Local seaport or airport in your area|5.7|6.5|14.6|9.0|5.5|6.5|3.7|5.3|5.9|6.0|5.3|5.8|5.5|5.9|5.9|4.2|7.6|4.1|61. Agreement on Statements on Corruption in Local Offices - ALL
Your local police department|5.2|5.8|11.6|7.8|5.0|5.6|4.2|4.6|5.3|6.0|4.8|5.3|5.2|5.4|5.4|4.0|6.2|4.4|61. Agreement on Statements on Corruption in Local Offices - ALL
Local courts|4.3|4.7|13.2|6.3|4.0|4.8|3.3|4.2|4.5|4.5|4.0|4.4|4.3|4.2|4.6|3.9|5.6|3.3|61. Agreement on Statements on Corruption in Local Offices - ALL
Your provincial government|3.6|3.8|8.0|6.3|2.9|3.9|3.1|4.1|3.2|4.1|3.3|3.4|3.9|3.5|3.5|4.2|4.4|3.0|61. Agreement on Statements on Corruption in Local Offices - ALL
Your barangay|3.6|4.1|9.8|4.8|3.7|3.8|2.7|3.5|3.5|3.7|3.6|3.5|3.6|3.7|3.5|3.3|4.7|2.6|61. Agreement on Statements on Corruption in Local Offices - ALL
Your local municipality or city|2.8|3.0|3.3|3.8|2.7|2.9|2.5|2.2|3.0|3.0|2.6|2.6|2.9|3.0|2.6|2.6|3.1|2.5|61. Agreement on Statements on Corruption in Local Offices - ALL
Public Schools|2.3|2.6|5.1|3.4|2.3|2.3|2.1|2.3|2.2|2.6|2.1|2.3|2.4|2.1|2.4|2.6|2.4|2.2|61. Agreement on Statements on Corruption in Local Offices - ALL
Local agricultural agency offices|2.3|2.5|4.9|3.2|2.2|2.5|1.9|2.5|2.0|2.7|2.2|2.4|2.3|2.5|2.3|1.9|2.4|2.3|61. Agreement on Statements on Corruption in Local Offices - ALL
Local Hospital or Health Center|2.1|2.2|5.0|1.9|2.2|2.3|1.7|1.6|2.0|2.3|2.5|2.0|2.2|2.3|1.9|1.7|2.5|1.8|61. Agreement on Statements on Corruption in Local Offices - ALL
None|82.5|81.5|75.2|78.1|82.7|81.3|85.3|83.5|82.1|81.5|83.5|82.5|82.6|82.3|82.0|85.0|79.5|85.0|61. Agreement on Statements on Corruption in Local Offices - ALL
