Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||61. Agreement on Statements on Corruption in Local Offices - FEW
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|61. Agreement on Statements on Corruption in Local Offices - FEW
BASE - Total interviews:|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - FEW
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|61. Agreement on Statements on Corruption in Local Offices - FEW
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|61. Agreement on Statements on Corruption in Local Offices - FEW
|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - FEW
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|61. Agreement on Statements on Corruption in Local Offices - FEW
|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - FEW
Your local municipality or city|59.8|62.0|67.1|64.7|61.1|58.3|60.4|60.1|60.3|59.9|58.5|59.1|60.4|59.5|59.7|60.9|61.2|58.6|61. Agreement on Statements on Corruption in Local Offices - FEW
Your provincial government|54.9|55.5|43.6|56.7|55.6|54.1|55.9|54.4|55.0|55.7|54.4|54.1|55.7|54.6|55.2|55.4|54.9|55.0|61. Agreement on Statements on Corruption in Local Offices - FEW
Local agricultural agency offices|54.3|56.3|43.8|59.7|55.8|53.4|54.3|51.7|55.2|55.3|54.2|54.5|54.1|55.2|53.7|53.3|56.4|52.6|61. Agreement on Statements on Corruption in Local Offices - FEW
Your barangay|53.6|56.1|45.5|58.9|55.8|52.3|53.8|53.6|54.0|53.8|52.9|53.6|53.6|54.3|52.3|55.1|57.0|50.8|61. Agreement on Statements on Corruption in Local Offices - FEW
Your local police department|53.3|52.7|46.3|53.7|52.7|52.6|55.0|53.9|53.7|52.4|53.4|52.5|54.2|53.3|52.9|54.8|53.2|53.5|61. Agreement on Statements on Corruption in Local Offices - FEW
Local Hospital or Health Center|52.0|55.0|59.4|58.0|54.0|50.5|52.0|49.7|53.0|51.9|52.4|52.1|51.8|53.2|50.9|50.7|55.1|49.4|61. Agreement on Statements on Corruption in Local Offices - FEW
Local courts|50.7|50.7|49.5|53.7|49.9|49.1|53.3|46.4|51.7|52.5|51.1|49.9|51.6|51.7|50.6|47.4|50.4|51.0|61. Agreement on Statements on Corruption in Local Offices - FEW
Local seaport or airport in your area|46.2|45.4|37.8|46.2|45.5|45.9|47.4|44.3|47.2|47.2|45.3|46.1|46.3|46.6|46.0|45.6|46.5|46.0|61. Agreement on Statements on Corruption in Local Offices - FEW
Public Schools|45.4|47.1|49.2|50.4|46.1|44.6|45.5|44.8|46.1|45.8|44.4|45.6|45.2|45.6|44.8|46.5|47.8|43.4|61. Agreement on Statements on Corruption in Local Offices - FEW
Local BIR offices|44.9|41.6|33.8|42.8|41.6|44.5|48.0|43.6|45.1|45.5|45.1|44.8|45.0|45.5|44.5|43.9|42.7|46.7|61. Agreement on Statements on Corruption in Local Offices - FEW
None|11.9|11.7|10.9|11.3|11.8|12.3|11.4|12.0|11.7|11.4|12.5|12.1|11.6|11.4|12.3|12.2|10.7|12.8|61. Agreement on Statements on Corruption in Local Offices - FEW
