Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||61. Agreement on Statements on Corruption in Local Offices - NONE
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|61. Agreement on Statements on Corruption in Local Offices - NONE
BASE - Total interviews:|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - NONE
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|61. Agreement on Statements on Corruption in Local Offices - NONE
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|61. Agreement on Statements on Corruption in Local Offices - NONE
|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - NONE
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|61. Agreement on Statements on Corruption in Local Offices - NONE
|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - NONE
Public Schools|36.4|34.6|29.1|31.0|35.8|36.3|37.9|37.2|36.4|36.2|35.9|36.2|36.6|36.6|36.3|35.8|33.2|39.1|61. Agreement on Statements on Corruption in Local Offices - NONE
Local Hospital or Health Center|28.4|25.0|17.3|20.5|26.6|28.7|30.5|31.5|28.2|27.0|27.6|28.0|28.8|27.1|29.3|30.5|24.1|32.1|61. Agreement on Statements on Corruption in Local Offices - NONE
Your barangay|22.2|18.1|18.3|14.5|19.1|22.1|25.4|22.7|21.7|21.9|22.7|21.9|22.4|21.6|22.9|21.7|16.1|27.3|61. Agreement on Statements on Corruption in Local Offices - NONE
Local agricultural agency offices|15.1|11.9|13.4|9.1|12.6|15.5|16.9|17.4|15.0|14.0|14.3|14.5|15.7|14.1|15.5|17.1|10.9|18.6|61. Agreement on Statements on Corruption in Local Offices - NONE
Your local municipality or city|11.8|8.8|7.9|5.5|9.8|11.5|14.5|13.1|11.2|10.6|12.7|11.9|11.6|11.2|12.3|12.0|8.3|14.7|61. Agreement on Statements on Corruption in Local Offices - NONE
Your provincial government|11.8|9.6|10.0|7.3|10.2|11.5|14.1|13.1|11.8|10.7|12.0|11.8|11.8|11.6|12.0|12.1|9.4|13.9|61. Agreement on Statements on Corruption in Local Offices - NONE
Local seaport or airport in your area|11.2|8.7|7.7|8.7|8.7|10.6|14.2|12.1|11.5|10.4|10.8|11.3|11.1|10.7|11.6|11.6|8.1|13.8|61. Agreement on Statements on Corruption in Local Offices - NONE
Your local police department|10.9|8.2|8.2|7.1|8.5|9.8|14.6|11.2|10.9|10.4|11.0|10.9|10.8|10.7|10.9|11.2|6.8|14.2|61. Agreement on Statements on Corruption in Local Offices - NONE
Local BIR offices|10.1|7.8|6.6|6.7|8.2|9.7|12.6|11.6|10.4|9.6|9.1|9.9|10.3|9.3|10.5|12.1|6.9|12.9|61. Agreement on Statements on Corruption in Local Offices - NONE
Local courts|9.9|7.5|4.5|6.4|7.8|10.0|11.9|11.3|10.8|8.6|9.1|9.8|10.1|9.0|10.5|11.7|6.8|12.6|61. Agreement on Statements on Corruption in Local Offices - NONE
None|48.5|51.8|61.6|55.7|50.4|48.4|46.0|45.4|48.1|50.1|49.8|48.7|48.2|49.4|48.2|45.9|53.3|44.4|61. Agreement on Statements on Corruption in Local Offices - NONE
