Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||62. Agreement on Statements on Corruption in National Offices - A LOT
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|62. Agreement on Statements on Corruption in National Offices - A LOT
BASE - Total interviews:|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - A LOT
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|62. Agreement on Statements on Corruption in National Offices - A LOT
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|62. Agreement on Statements on Corruption in National Offices - A LOT
|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - A LOT
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|62. Agreement on Statements on Corruption in National Offices - A LOT
|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - A LOT
Senate|48.2|51.8|45.6|56.0|50.8|49.8|42.7|44.4|50.0|49.9|47.1|48.8|47.6|49.2|48.6|43.5|51.5|45.4|62. Agreement on Statements on Corruption in National Offices - A LOT
Congress|47.0|52.2|39.3|54.2|52.1|48.5|40.4|44.4|48.2|48.3|46.1|47.7|46.3|47.8|46.8|44.4|50.3|44.2|62. Agreement on Statements on Corruption in National Offices - A LOT
Cabinet|44.9|50.2|40.5|52.4|50.0|45.7|39.3|41.0|46.1|46.9|44.2|45.1|44.6|46.9|43.9|40.6|49.1|41.3|62. Agreement on Statements on Corruption in National Offices - A LOT
Governors|43.5|47.7|36.8|51.1|47.1|44.3|39.0|40.0|43.8|44.8|44.8|43.8|43.3|44.7|43.8|38.8|47.2|40.5|62. Agreement on Statements on Corruption in National Offices - A LOT
Supreme Court|39.5|43.8|30.5|43.6|44.3|40.0|35.5|38.0|39.7|40.1|40.0|40.3|38.8|40.7|38.9|37.4|43.0|36.7|62. Agreement on Statements on Corruption in National Offices - A LOT
Military|29.7|33.9|22.7|35.0|34.0|30.2|25.7|27.5|30.2|30.3|30.5|29.6|29.9|30.4|30.0|26.3|33.2|26.8|62. Agreement on Statements on Corruption in National Offices - A LOT
None|32.2|29.0|41.0|26.7|29.3|30.1|38.0|34.4|31.5|31.0|32.6|31.7|32.6|31.2|32.1|35.8|28.4|35.4|62. Agreement on Statements on Corruption in National Offices - A LOT
