Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||62. Agreement on Statements on Corruption in National Offices - ALL
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|62. Agreement on Statements on Corruption in National Offices - ALL
BASE - Total interviews:|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - ALL
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|62. Agreement on Statements on Corruption in National Offices - ALL
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|62. Agreement on Statements on Corruption in National Offices - ALL
|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - ALL
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|62. Agreement on Statements on Corruption in National Offices - ALL
|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - ALL
Congress|10.6|11.6|26.5|12.8|10.8|10.6|9.7|7.8|10.7|11.6|11.7|10.6|10.6|11.5|10.6|7.4|12.8|8.7|62. Agreement on Statements on Corruption in National Offices - ALL
Senate|10.2|12.1|24.7|12.3|11.6|9.9|9.1|8.4|10.4|10.7|10.9|10.1|10.3|11.1|9.5|8.9|12.6|8.2|62. Agreement on Statements on Corruption in National Offices - ALL
Cabinet|10.2|11.7|23.3|12.4|11.0|10.5|8.6|8.2|10.1|11.4|10.7|10.7|9.7|11.1|9.9|8.0|12.4|8.3|62. Agreement on Statements on Corruption in National Offices - ALL
Governors|10.1|11.9|27.2|14.1|10.8|10.2|8.5|10.0|10.0|11.0|9.2|10.3|9.9|10.4|9.8|9.9|13.1|7.6|62. Agreement on Statements on Corruption in National Offices - ALL
Supreme Court|9.1|11.1|23.2|13.3|10.1|9.1|7.5|8.1|8.9|10.1|9.0|8.9|9.3|9.3|9.3|7.9|11.1|7.4|62. Agreement on Statements on Corruption in National Offices - ALL
Military|7.2|7.2|13.5|8.3|6.7|7.3|7.1|5.8|7.3|8.0|7.6|7.6|6.9|8.0|6.8|6.0|8.5|6.1|62. Agreement on Statements on Corruption in National Offices - ALL
None|79.4|77.5|65.3|75.6|78.4|78.9|81.9|81.6|79.3|78.7|78.7|79.4|79.5|78.7|79.5|82.1|76.5|81.9|62. Agreement on Statements on Corruption in National Offices - ALL
