Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||62. Agreement on Statements on Corruption in National Offices - FEW
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|62. Agreement on Statements on Corruption in National Offices - FEW
BASE - Total interviews:|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - FEW
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|62. Agreement on Statements on Corruption in National Offices - FEW
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|62. Agreement on Statements on Corruption in National Offices - FEW
|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - FEW
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|62. Agreement on Statements on Corruption in National Offices - FEW
|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - FEW
Military|43.3|41.2|35.6|39.6|41.9|43.1|45.2|42.9|43.3|43.9|42.8|43.5|43.1|43.6|42.5|44.4|42.1|44.3|62. Agreement on Statements on Corruption in National Offices - FEW
Supreme Court|40.3|36.1|34.9|38.3|35.5|40.1|43.9|40.5|41.1|39.8|39.4|40.0|40.5|40.4|39.6|41.9|38.0|42.2|62. Agreement on Statements on Corruption in National Offices - FEW
Governors|38.1|33.4|28.4|30.7|34.3|37.4|42.7|40.0|38.5|36.9|37.1|38.0|38.1|37.6|37.3|42.2|33.8|41.6|62. Agreement on Statements on Corruption in National Offices - FEW
Cabinet|37.1|31.8|31.7|30.5|32.2|36.1|42.8|40.1|36.4|35.2|37.6|36.4|37.8|35.6|37.6|40.8|32.6|40.8|62. Agreement on Statements on Corruption in National Offices - FEW
Congress|35.5|29.9|29.7|28.7|30.3|34.1|42.4|38.4|34.5|34.5|35.8|35.1|36.0|35.2|34.6|39.6|31.5|38.9|62. Agreement on Statements on Corruption in National Offices - FEW
Senate|35.3|30.6|23.6|28.1|31.5|33.9|41.2|38.6|33.5|34.4|35.9|34.5|36.1|34.5|34.9|39.2|31.3|38.6|62. Agreement on Statements on Corruption in National Offices - FEW
None|33.8|38.6|46.5|40.9|37.7|34.5|28.9|31.6|34.0|34.2|34.9|33.7|33.9|34.5|34.2|30.1|37.7|30.5|62. Agreement on Statements on Corruption in National Offices - FEW
