Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||62. Agreement on Statements on Corruption in National Offices - NONE
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|62. Agreement on Statements on Corruption in National Offices - NONE
BASE - Total interviews:|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - NONE
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|62. Agreement on Statements on Corruption in National Offices - NONE
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|62. Agreement on Statements on Corruption in National Offices - NONE
|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - NONE
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|62. Agreement on Statements on Corruption in National Offices - NONE
|||||||||||||||||||62. Agreement on Statements on Corruption in National Offices - NONE
Military|12.8|11.4|24.4|13.2|10.4|12.3|14.8|16.3|12.8|11.0|11.8|13.0|12.6|11.6|12.9|16.6|10.3|14.9|62. Agreement on Statements on Corruption in National Offices - NONE
Supreme Court|5.4|4.4|8.2|2.9|4.7|5.1|6.7|7.1|5.5|4.7|4.8|5.4|5.4|4.6|6.0|6.6|3.8|6.8|62. Agreement on Statements on Corruption in National Offices - NONE
Governors|3.9|2.7|2.8|1.7|3.0|3.7|5.1|4.9|3.6|3.4|4.0|3.8|4.0|3.4|4.3|4.5|2.6|5.0|62. Agreement on Statements on Corruption in National Offices - NONE
Cabinet|3.6|2.7|2.8|1.9|2.9|3.5|4.4|4.9|3.6|3.0|3.1|3.7|3.5|3.0|3.9|4.7|2.7|4.3|62. Agreement on Statements on Corruption in National Offices - NONE
Congress|3.5|3.2|2.8|2.7|3.4|3.4|3.9|5.0|3.7|2.7|2.8|3.6|3.4|2.9|3.9|4.4|2.8|4.1|62. Agreement on Statements on Corruption in National Offices - NONE
Senate|3.3|2.7|4.5|1.7|2.9|3.2|3.9|4.9|3.5|2.2|2.9|3.8|2.7|2.9|3.2|4.9|2.3|4.1|62. Agreement on Statements on Corruption in National Offices - NONE
None|82.5|84.9|70.1|84.0|85.7|83.2|79.5|77.8|82.7|85.0|83.4|82.3|82.7|84.5|81.7|77.8|85.5|80.0|62. Agreement on Statements on Corruption in National Offices - NONE
