Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||51. Agreement on Statements on Employment - Disagree
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|51. Agreement on Statements on Employment - Disagree
BASE - Total interviews:|||||||||||||||||||51. Agreement on Statements on Employment - Disagree
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|51. Agreement on Statements on Employment - Disagree
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|51. Agreement on Statements on Employment - Disagree
|||||||||||||||||||51. Agreement on Statements on Employment - Disagree
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|51. Agreement on Statements on Employment - Disagree
|||||||||||||||||||51. Agreement on Statements on Employment - Disagree
In this time, everyone will be able to find a job if they want to.|12.0|9.4|7.9|9.5|9.4|11.0|15.8|12.1|11.6|12.0|12.7|12.9|11.2|12.4|11.7|11.6|10.7|13.2|51. Agreement on Statements on Employment - Disagree
Having your own business is needed to progress in life|7.3|6.0|12.9|5.4|6.0|6.2|10.2|7.5|7.4|7.5|6.9|7.3|7.3|7.7|6.9|7.1|7.2|7.4|51. Agreement on Statements on Employment - Disagree
NONE|84.1|86.9|84.1|87.5|86.8|85.5|79.7|83.8|84.6|83.7|84.1|83.5|84.7|83.5|84.6|84.7|85.1|83.2|51. Agreement on Statements on Employment - Disagree
Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted |10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|15. Agreement on Statements on Employment - Disagree
Total|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|15. Agreement on Statements on Employment - Disagree
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|15. Agreement on Statements on Employment - Disagree
In year 2040, there is hope that my children will have a decent job even if they did not go to college.|14.2|13.9|12.7|14.1|13.8|13.2|16|15.2|14.3|13.8|13.5|14.3|14.1|13.3|14.7|15.8|13.3|14.9|15. Agreement on Statements on Employment - Disagree
It is good for the country, in the next 25 years, if the citizens will stay in the country instead of going abroad to work.|11|10.9|4.8|12.2|10.8|10|12.5|12.3|10.5|10.6|10.8|11.2|10.7|11.1|10.8|11.1|10.9|11|15. Agreement on Statements on Employment - Disagree
When the year 2040 comes, everyone who wants to work should be able to find a decent job|6.5|5.4|3.1|5.6|5.3|5.9|8.2|7.1|6.1|6.5|6.3|6.7|6.2|6.2|6.6|6.8|5.7|7.1|15. Agreement on Statements on Employment - Disagree
NONE|77.4|77.4|85.6|77.1|77.2|78.7|75.2|75.2|77.8|77.5|78.7|77.1|77.7|78.3|77.1|75|77.3|77.4|15. Agreement on Statements on Employment - Disagree
