Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||60. Agreement on Statements on Governance - Agree
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|60. Agreement on Statements on Governance - Agree
BASE - Total interviews:|||||||||||||||||||60. Agreement on Statements on Governance - Agree
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|60. Agreement on Statements on Governance - Agree
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|60. Agreement on Statements on Governance - Agree
|||||||||||||||||||60. Agreement on Statements on Governance - Agree
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|60. Agreement on Statements on Governance - Agree
|||||||||||||||||||60. Agreement on Statements on Governance - Agree
Greater power and larger budget of government’s money should be transferred to the local governments than the national government|83.3|80.0|73.2|78.9|80.5|84.4|83.9|83.4|83.6|83.9|82.0|83.9|82.6|83.6|82.6|84.0|82.3|84.1|60. Agreement on Statements on Governance - Agree
|||||||||||||||||||60. Agreement on Statements on Governance - Agree
I am being taken care of by the employees of my municipality|75.5|75.7|68.7|76.9|75.5|76.1|74.3|73.9|74.2|76.9|77.1|75.2|75.8|75.8|75.8|73.3|73.0|77.5|60. Agreement on Statements on Governance - Agree
|||||||||||||||||||60. Agreement on Statements on Governance - Agree
The national government does not listen to the requests of the citizens|70.2|70.2|65.3|71.6|70.0|71.3|68.3|68.7|69.7|71.5|70.7|71.0|69.3|71.1|69.7|68.2|72.0|68.7|60. Agreement on Statements on Governance - Agree
|||||||||||||||||||60. Agreement on Statements on Governance - Agree
My local government does not listen to the requests of the citizens|68.8|69.2|60.4|68.9|69.5|69.0|68.3|66.5|68.8|70.1|69.5|69.4|68.3|70.3|68.0|66.2|70.4|67.6|60. Agreement on Statements on Governance - Agree
|||||||||||||||||||60. Agreement on Statements on Governance - Agree
I don’t feel that I am respected by the employees of the municipality|51.0|52.7|64.2|52.9|52.2|51.1|49.7|46.4|52.6|51.2|52.7|52.1|49.9|52.7|50.3|47.6|51.1|51.0|60. Agreement on Statements on Governance - Agree
|||||||||||||||||||60. Agreement on Statements on Governance - Agree
None|4.0|4.9|9.1|5.0|4.8|3.2|4.6|5.3|3.9|3.5|3.5|3.9|4.0|3.8|3.9|4.9|4.3|3.7|60. Agreement on Statements on Governance - Agree
