Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||60. Agreement on Statements on Governance - Disagree
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|60. Agreement on Statements on Governance - Disagree
BASE - Total interviews:|||||||||||||||||||60. Agreement on Statements on Governance - Disagree
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|60. Agreement on Statements on Governance - Disagree
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|60. Agreement on Statements on Governance - Disagree
|||||||||||||||||||60. Agreement on Statements on Governance - Disagree
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|60. Agreement on Statements on Governance - Disagree
|||||||||||||||||||60. Agreement on Statements on Governance - Disagree
I don’t feel that I am respected by the employees of the municipality|45.1|42.9|30.5|43.8|43.1|45.9|45.6|46.2|43.9|45.7|45.3|44.0|46.3|44.4|45.9|45.0|44.4|45.7|60. Agreement on Statements on Governance - Disagree
|||||||||||||||||||60. Agreement on Statements on Governance - Disagree
My local government does not listen to the requests of the citizens|27.3|24.8|25.8|24.6|24.8|28.0|28.1|27.4|27.8|26.4|27.5|27.0|27.6|26.6|27.9|28.3|25.1|29.1|60. Agreement on Statements on Governance - Disagree
|||||||||||||||||||60. Agreement on Statements on Governance - Disagree
The national government does not listen to the requests of the citizens|25.3|23.0|19.2|21.9|23.4|25.0|27.6|24.4|26.2|24.2|26.0|24.5|26.1|25.0|25.7|25.2|22.6|27.5|60. Agreement on Statements on Governance - Disagree
|||||||||||||||||||60. Agreement on Statements on Governance - Disagree
I am being taken care of by the employees of my municipality|20.4|18.7|22.6|18.2|18.7|20.7|21.4|18.5|22.1|20.1|20.3|20.7|20.2|20.9|20.3|19.3|21.8|19.3|60. Agreement on Statements on Governance - Disagree
|||||||||||||||||||60. Agreement on Statements on Governance - Disagree
Greater power and larger budget of government’s money should be transferred to the local governments than the national government|13.5|14.3|14.7|14.3|14.2|12.9|13.7|12.1|13.4|13.2|15.0|13.0|13.9|13.7|13.6|12.2|13.2|13.6|60. Agreement on Statements on Governance - Disagree
None|34.5|37.3|42.4|38.1|36.9|33.9|33.4|37.3|33.8|33.4|34.5|35.1|34.0|34.6|33.4|37.5|34.5|34.5|60. Agreement on Statements on Governance - Disagree
