Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||57. Agreement on Statements on Justice - Disagree
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|57. Agreement on Statements on Justice - Disagree
BASE - Total interviews:|||||||||||||||||||57. Agreement on Statements on Justice - Disagree
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|57. Agreement on Statements on Justice - Disagree
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|57. Agreement on Statements on Justice - Disagree
|||||||||||||||||||57. Agreement on Statements on Justice - Disagree
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|57. Agreement on Statements on Justice - Disagree
|||||||||||||||||||57. Agreement on Statements on Justice - Disagree
My community is safe from illegal drugs|46.3|50.1|52.2|51.4|49.7|45.7|44.4|44.5|47.6|45.8|46.6|46.1|46.5|46.6|46.7|44.0|51.4|42.1|57. Agreement on Statements on Justice - Disagree
|||||||||||||||||||57. Agreement on Statements on Justice - Disagree
In my community, the police cannot  be fully trusted|30.5|30.5|31.6|31.7|30.2|29.8|31.5|31.0|30.0|30.4|30.8|29.8|31.2|30.1|30.8|31.1|31.0|30.1|57. Agreement on Statements on Justice - Disagree
|||||||||||||||||||57. Agreement on Statements on Justice - Disagree
My community is not safe from crime|29.2|26.8|21.9|26.3|27.2|29.5|30.6|28.8|29.7|29.3|28.9|29.2|29.3|29.3|29.4|28.7|26.5|31.5|57. Agreement on Statements on Justice - Disagree
|||||||||||||||||||57. Agreement on Statements on Justice - Disagree
The court's treatment towards the poor and the rich is not fair|25.3|24.1|26.5|23.1|24.3|24.4|27.7|24.2|26.0|25.5|24.9|26.0|24.6|25.4|26.1|22.6|23.8|26.5|57. Agreement on Statements on Justice - Disagree
|||||||||||||||||||57. Agreement on Statements on Justice - Disagree
The Philippine justice system is effective at protecting the rights of the citizens|22.8|21.7|24.4|20.2|22.0|23.6|22.4|21.9|22.3|24.0|23.0|23.0|22.6|23.5|22.5|21.4|23.9|21.9|57. Agreement on Statements on Justice - Disagree
|||||||||||||||||||57. Agreement on Statements on Justice - Disagree
The barangay officials can be trusted to maintain the safety of my community|18.3|16.2|18.6|13.8|16.8|19.5|18.2|17.8|19.2|17.6|18.5|18.3|18.4|18.6|18.2|18.0|18.8|18.0|57. Agreement on Statements on Justice - Disagree
|||||||||||||||||||57. Agreement on Statements on Justice - Disagree
None|26.7|28.3|30.6|30.6|27.6|26.0|26.5|27.9|25.5|26.6|27.3|26.6|26.8|26.6|26.4|27.6|25.6|27.6|57. Agreement on Statements on Justice - Disagree
