Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted |10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|6. Confidence Achieving Personal Aspirations
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|6. Confidence Achieving Personal Aspirations
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|6. Confidence Achieving Personal Aspirations
CONFIDENT|87.4|93.9|96.1|94.5|93.6|88.6|80.5|89.9|89.3|86.2|83.8|87.1|87.7|87|86.2|92.5|90|85.2|6. Confidence Achieving Personal Aspirations
Definitely confident (4.00)|38.8|48.9|55.8|53.8|47.3|38.1|31.9|39.5|40.3|36.8|38.1|38.2|39.3|38.2|38|43|41.1|36.8|6. Confidence Achieving Personal Aspirations
Somewhat confident (3.00)|48.6|44.9|40.4|40.8|46.2|50.5|48.5|50.3|49.1|49.3|45.7|48.9|48.4|48.8|48.2|49.6|48.9|48.4|6. Confidence Achieving Personal Aspirations
NOT CONFIDENT|12.2|5.8|3.9|5.3|6|11.1|18.7|9.6|10.3|13.4|15.6|12.4|11.9|12.6|13.3|7.2|9.6|14.3|6. Confidence Achieving Personal Aspirations
Somewhat not confident (2.00)|9.3|4.2|-|3.8|4.5|8.9|14|7.8|7.9|10.4|11.6|9.5|9.2|9.4|10.5|5.5|7.5|10.9|6. Confidence Achieving Personal Aspirations
Definitely not confident (1.00)|2.8|1.6|3.9|1.4|1.5|2.2|4.8|1.8|2.4|3|4|2.9|2.7|3.2|2.7|1.7|2.1|3.4|6. Confidence Achieving Personal Aspirations
REFUSED|-|*|-|-|*|-|-|*|-|-|-|-|-|-|-|*|-|-|6. Confidence Achieving Personal Aspirations
DON'T KNOW|*|*|-|*|*|*|0.8|0.5|*|*|0.5|0.5|*|*|0.6|*|*|0.5|6. Confidence Achieving Personal Aspirations
