Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted |10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|9. Confidence Family Good Health
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|9. Confidence Family Good Health
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|9. Confidence Family Good Health
CONFIDENT|80.3|87.3|94.7|88.8|86.6|81.4|73.1|84.3|82.3|79.3|75.1|80.7|79.9|79.8|79.1|85.7|82.6|78.4|9. Confidence Family Good Health
Definitely confident (4.00)|32.6|39.9|64.1|39.4|39.2|32.9|26.6|34.8|33.4|31.1|31.4|33.3|31.9|32.9|31.2|36.2|32.6|32.7|9. Confidence Family Good Health
Somewhat confident (3.00)|47.7|47.4|30.7|49.4|47.4|48.5|46.5|49.5|48.9|48.1|43.6|47.4|48|46.9|48|49.5|50|45.7|9. Confidence Family Good Health
NOT CONFIDENT|18.6|11.5|5.3|10.3|12|17.8|25.6|15|16.9|19.5|23.4|18.1|19.2|19|19.7|14.1|16.2|20.6|9. Confidence Family Good Health
Somewhat not confident (2.00)|13.7|8.3|3.6|7.9|8.5|13.2|18.7|12.3|12.6|14|16.2|13.3|14.2|13.4|14.6|11.9|12.3|14.9|9. Confidence Family Good Health
Definitely not confident (1.00)|4.9|3.2|1.7|2.4|3.5|4.5|6.9|2.7|4.3|5.4|7.2|4.8|5|5.5|5.1|2.2|4|5.7|9. Confidence Family Good Health
REFUSED|-|-|-|-|*|-|-|-|-|-|-|-|-|-|-|-|-|-|9. Confidence Family Good Health
DON’T KNOW|1.1|1.2|-|1|1.3|0.8|1.3|0.8|0.7|1.2|1.6|1.2|0.9|1.2|1.2|*|1.1|1|9. Confidence Family Good Health
