Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted |10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|7. Confidence in Achieving Desired Life Status
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|7. Confidence in Achieving Desired Life Status
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|7. Confidence in Achieving Desired Life Status
CONFIDENT|88.4|94.6|98.3|94.8|94.4|89.5|81.9|90.9|89.4|87.8|85.5|88.2|88.7|88|87.5|92.9|90.8|86.4|7. Confidence in Achieving Desired Life Status
Definitely confident (4.00)|41|51.1|66.5|53.6|49.9|41.7|32.1|43.2|43|38.8|39|41.2|40.9|41.2|39.3|45.7|43.1|39.3|7. Confidence in Achieving Desired Life Status
Somewhat confident (3.00)|47.4|43.5|31.8|41.2|44.5|47.8|49.8|47.7|46.4|49|46.5|46.9|47.8|46.8|48.1|47.2|47.7|47.1|7. Confidence in Achieving Desired Life Status
NOT CONFIDENT|11.1|5.1|1.7|5|5.3|10.1|17.4|8.6|10.1|12|13.8|11.3|10.9|11.5|12|7|8.8|13.1|7. Confidence in Achieving Desired Life Status
Somewhat not confident (2.00)|8.6|4|1.7|4|4.1|7.9|13.4|6.8|7.8|9.7|10.1|8.7|8.6|8.6|9.6|5.3|6.9|10.1|7. Confidence in Achieving Desired Life Status
Definitely not confident (1.00)|2.5|1.1|-|1|1.2|2.2|4|1.8|2.3|2.3|3.6|2.7|2.3|2.9|2.3|1.7|1.9|3|7. Confidence in Achieving Desired Life Status
REFUSED|-|-|-|-|*|-|-|-|-|-|*|-|-|*|-|-|-|-|7. Confidence in Achieving Desired Life Status
DON'T KNOW|*|*|-|*|*|*|0.7|0.5|*|*|0.7|0.5|*|*|0.5|*|*|0.5|7. Confidence in Achieving Desired Life Status
