Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||48. Confidence on Ability to Send Children to School - Not Confident
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|48. Confidence on Ability to Send Children to School - Not Confident
BASE- Total interviews:|||||||||||||||||||48. Confidence on Ability to Send Children to School - Not Confident
Unweighted |6689.0|1338.0|28.0|265.0|1045.0|3171.0|2180.0|117.0|1768.0|2553.0|2251.0|2875.0|3814.0|3782.0|2892.0|15.0|2960.0|3729.0|48. Confidence on Ability to Send Children to School - Not Confident
Total|6268.0|1247.0|26.0|246.0|975.0|2974.0|2048.0|153.0|1860.0|2231.0|2025.0|2662.0|3606.0|3493.0|2759.0|17.0|2761.0|3507.0|48. Confidence on Ability to Send Children to School - Not Confident
|||||||||||||||||||48. Confidence on Ability to Send Children to School - Not Confident
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|48. Confidence on Ability to Send Children to School - Not Confident
|||||||||||||||||||48. Confidence on Ability to Send Children to School - Not Confident
Finish elementary|7.2|8.5|11.0|8.8|8.4|5.4|8.9|6.4|7.6|7.0|7.2|7.0|7.3|6.9|7.5|13.3|7.7|6.8|48. Confidence on Ability to Send Children to School - Not Confident
|||||||||||||||||||48. Confidence on Ability to Send Children to School - Not Confident
Finish High School|7.6|5.6|3.3|7.2|5.3|6.1|11.1|8.7|7.1|7.1|8.5|8.1|7.3|7.6|7.7|7.2|6.5|8.5|48. Confidence on Ability to Send Children to School - Not Confident
|||||||||||||||||||48. Confidence on Ability to Send Children to School - Not Confident
Finish from a Vocational or Technical school|15.1|6.9|3.3|5.3|7.4|13.1|23.0|10.7|13.1|15.7|16.5|15.8|14.5|15.3|14.9|-|11.9|17.6|48. Confidence on Ability to Send Children to School - Not Confident
|||||||||||||||||||48. Confidence on Ability to Send Children to School - Not Confident
To go to college|21.5|7.5|-|5.6|8.2|19.8|32.4|26.9|19.3|21.6|22.9|21.9|21.2|21.0|22.0|19.5|16.8|25.2|48. Confidence on Ability to Send Children to School - Not Confident
|||||||||||||||||||48. Confidence on Ability to Send Children to School - Not Confident
Finish College|23.7|8.1|-|3.4|9.5|22.1|35.6|28.5|22.0|23.4|25.3|24.5|23.2|23.3|24.3|12.3|19.1|27.4|48. Confidence on Ability to Send Children to School - Not Confident
|||||||||||||||||||48. Confidence on Ability to Send Children to School - Not Confident
Finish studies higher than College (like Law or Medicine)|44.3|23.4|3.4|18.1|25.3|45.7|55.1|49.7|42.7|44.1|45.7|43.8|44.7|43.2|46.0|18.8|38.2|49.1|48. Confidence on Ability to Send Children to School - Not Confident
|||||||||||||||||||48. Confidence on Ability to Send Children to School - Not Confident
NONE|47.6|65.4|82.3|69.1|64.0|47.8|36.6|42.1|48.9|48.1|46.4|48.3|47.1|49.3|45.4|67.9|52.1|44.1|48. Confidence on Ability to Send Children to School - Not Confident
