Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||50. Constraints to Education: BIG HINDRANCE
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|50. Constraints to Education: BIG HINDRANCE
BASE- Total interviews:|||||||||||||||||||50. Constraints to Education: BIG HINDRANCE
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|50. Constraints to Education: BIG HINDRANCE
Total|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|50. Constraints to Education: BIG HINDRANCE
|||||||||||||||||||50. Constraints to Education: BIG HINDRANCE
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|50. Constraints to Education: BIG HINDRANCE
|||||||||||||||||||50. Constraints to Education: BIG HINDRANCE
Loss of interest|55.7|54.3|34.9|50.2|56.1|56.5|55.3|55.6|56.8|55.3|54.6|55.2|56.2|55.5|56.5|54.0|52.7|58.2|50. Constraints to Education: BIG HINDRANCE
|||||||||||||||||||50. Constraints to Education: BIG HINDRANCE
Having disability or illness|54.8|52.9|34.9|46.8|55.2|55.2|55.5|54.4|54.8|54.5|55.5|54.7|54.9|55.4|54.6|53.2|51.9|57.2|50. Constraints to Education: BIG HINDRANCE
|||||||||||||||||||50. Constraints to Education: BIG HINDRANCE
Insufficient livelihood or income of the family|51.3|46.8|30.1|41.4|48.9|51.4|54.6|49.9|51.3|50.7|53.2|51.3|51.3|52.2|51.5|47.6|47.3|54.7|50. Constraints to Education: BIG HINDRANCE
|||||||||||||||||||50. Constraints to Education: BIG HINDRANCE
Lack of needed materials to go to school|42.4|38.5|21.7|33.7|40.4|42.3|45.4|42.1|42.2|42.3|43.0|42.7|42.1|43.4|41.5|41.4|36.9|47.0|50. Constraints to Education: BIG HINDRANCE
|||||||||||||||||||50. Constraints to Education: BIG HINDRANCE
Low quality of teaching in school|41.5|40.9|27.9|38.0|42.2|41.1|42.6|41.3|42.6|40.8|40.7|40.8|42.1|41.0|42.0|41.6|37.1|45.1|50. Constraints to Education: BIG HINDRANCE
|||||||||||||||||||50. Constraints to Education: BIG HINDRANCE
Distance of the school from home or expenses to go to school|37.2|31.3|10.2|27.6|33.1|37.7|41.0|35.4|36.8|37.6|38.9|36.9|37.5|38.0|37.0|35.0|31.9|41.6|50. Constraints to Education: BIG HINDRANCE
|||||||||||||||||||50. Constraints to Education: BIG HINDRANCE
NONE|19.3|23.0|47.9|29.1|20.4|18.5|17.9|18.3|19.4|20.5|18.8|19.3|19.4|19.3|19.5|18.7|21.9|17.2|50. Constraints to Education: BIG HINDRANCE
