Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||50. Constraints to Education: SMALL HINDRANCE
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|50. Constraints to Education: SMALL HINDRANCE
BASE- Total interviews:|||||||||||||||||||50. Constraints to Education: SMALL HINDRANCE
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|50. Constraints to Education: SMALL HINDRANCE
Total|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|50. Constraints to Education: SMALL HINDRANCE
|||||||||||||||||||50. Constraints to Education: SMALL HINDRANCE
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|50. Constraints to Education: SMALL HINDRANCE
|||||||||||||||||||50. Constraints to Education: SMALL HINDRANCE
Distance of the school from home or expenses to go to school|41.4|43.1|42.7|44.4|42.8|40.4|41.9|41.6|42.7|39.8|41.4|42.3|40.6|41.0|41.9|41.6|41.9|41.1|50. Constraints to Education: SMALL HINDRANCE
|||||||||||||||||||50. Constraints to Education: SMALL HINDRANCE
Low quality of teaching in school|41.1|39.8|39.8|41.9|39.2|41.2|41.8|42.1|40.4|41.0|41.2|41.3|40.8|40.6|41.1|42.4|43.0|39.4|50. Constraints to Education: SMALL HINDRANCE
|||||||||||||||||||50. Constraints to Education: SMALL HINDRANCE
Lack of needed materials to go to school|37.9|37.6|37.7|39.1|37.2|37.5|38.9|39.3|37.1|38.3|37.5|37.6|38.3|36.1|39.5|40.0|40.3|35.9|50. Constraints to Education: SMALL HINDRANCE
|||||||||||||||||||50. Constraints to Education: SMALL HINDRANCE
Insufficient livelihood or income of the family|35.3|36.1|44.6|40.8|34.5|35.1|35.0|36.4|35.3|35.2|34.4|35.0|35.6|34.7|35.0|38.4|36.5|34.2|50. Constraints to Education: SMALL HINDRANCE
|||||||||||||||||||50. Constraints to Education: SMALL HINDRANCE
Loss of interest|31.5|31.3|36.1|33.2|30.5|30.7|33.2|32.7|30.6|31.2|32.4|31.8|31.3|31.0|31.4|33.9|33.1|30.2|50. Constraints to Education: SMALL HINDRANCE
|||||||||||||||||||50. Constraints to Education: SMALL HINDRANCE
Having disability or illness|28.5|27.4|34.5|31.2|26.0|28.4|29.5|28.1|28.4|28.9|28.5|28.3|28.6|27.3|29.7|29.2|29.4|27.7|50. Constraints to Education: SMALL HINDRANCE
|||||||||||||||||||50. Constraints to Education: SMALL HINDRANCE
NONE|25.3|26.0|22.7|24.6|26.5|24.1|26.9|22.9|26.0|25.3|26.6|25.2|25.4|26.3|24.9|23.1|22.4|27.8|50. Constraints to Education: SMALL HINDRANCE
