Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||43. Current Constraints to Saving Money: BIG HINDRANCE
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|43. Current Constraints to Saving Money: BIG HINDRANCE
BASE- Total interviews:|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|43. Current Constraints to Saving Money: BIG HINDRANCE
Total|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|43. Current Constraints to Saving Money: BIG HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|43. Current Constraints to Saving Money: BIG HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
Lots of loans|56.6|61.7|57.3|67.7|60.2|54.3|56.5|56.3|57.4|56.4|55.9|56.2|57.0|56.6|56.5|57.1|58.1|55.3|43. Current Constraints to Saving Money: BIG HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
Illness in the family|53.7|57.8|52.6|59.8|57.4|51.8|53.7|52.3|55.1|53.3|53.4|54.1|53.2|54.4|52.9|53.4|54.5|53.0|43. Current Constraints to Saving Money: BIG HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
Unexpected expenses caused by disasters like typhoons, floods, and armed conflict|52.7|55.9|57.7|56.3|55.7|51.4|52.4|53.0|53.4|52.0|52.3|52.6|52.8|52.2|52.8|54.2|52.1|53.2|43. Current Constraints to Saving Money: BIG HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
Small salary|49.0|51.7|39.0|54.9|51.3|47.1|50.2|47.5|49.8|49.1|49.2|48.9|49.1|49.5|48.8|47.9|48.5|49.5|43. Current Constraints to Saving Money: BIG HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
High cost of goods|46.7|47.3|34.4|48.0|47.6|45.9|47.6|44.1|47.1|47.2|47.9|46.5|46.9|47.6|46.3|45.3|46.0|47.4|43. Current Constraints to Saving Money: BIG HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
Lack of capital for business or livelihood|45.5|45.9|39.2|48.7|45.4|43.9|47.9|43.7|45.8|46.3|45.7|45.5|45.5|46.6|44.8|43.9|44.4|46.4|43. Current Constraints to Saving Money: BIG HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
High cost of everyday transportation|43.9|45.6|34.5|48.8|45.1|41.6|46.5|42.6|44.1|44.3|44.5|44.2|43.6|44.3|43.9|42.6|42.7|44.9|43. Current Constraints to Saving Money: BIG HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
Finding a secured job|28.5|25.6|17.1|20.0|27.4|29.4|29.4|26.4|28.0|29.1|30.5|28.8|28.2|29.6|28.1|25.8|27.2|29.6|43. Current Constraints to Saving Money: BIG HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: BIG HINDRANCE
NONE|19.5|17.8|24.9|16.6|17.8|20.0|20.0|20.2|18.1|19.7|20.4|19.8|19.1|19.5|19.5|19.2|18.5|20.3|43. Current Constraints to Saving Money: BIG HINDRANCE
