Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||43. Current Constraints to Saving Money: NOT HINDRANCE
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|43. Current Constraints to Saving Money: NOT HINDRANCE
BASE- Total interviews:|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|43. Current Constraints to Saving Money: NOT HINDRANCE
Total|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|43. Current Constraints to Saving Money: NOT HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|43. Current Constraints to Saving Money: NOT HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
Finding a secured job|35.7|40.2|46.2|41.6|39.7|35.5|32.6|38.4|35.9|35.9|33.0|34.9|36.6|34.4|36.4|38.8|38.3|33.6|43. Current Constraints to Saving Money: NOT HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
Unexpected expenses caused by disasters like typhoons, floods, and armed conflict|26.1|21.2|25.6|16.4|22.4|28.7|25.5|27.1|24.7|26.5|26.6|26.2|26.0|26.3|25.9|26.0|25.0|27.0|43. Current Constraints to Saving Money: NOT HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
Illness in the family|25.4|20.4|23.8|15.0|21.8|28.0|24.9|25.7|24.8|25.1|26.3|25.6|25.2|25.4|25.2|25.7|24.3|26.3|43. Current Constraints to Saving Money: NOT HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
Small salary|25.3|20.7|28.8|15.8|21.8|27.6|25.1|25.1|24.8|25.5|26.0|26.0|24.6|25.9|25.1|23.6|24.5|26.0|43. Current Constraints to Saving Money: NOT HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
Lack of capital for business or livelihood|25.1|21.1|28.5|17.0|22.0|27.3|24.5|25.9|24.7|24.7|25.2|25.5|24.6|25.1|25.1|24.9|24.1|25.9|43. Current Constraints to Saving Money: NOT HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
Lots of loans|25.0|19.5|17.6|13.8|21.2|27.4|25.4|25.5|25.2|24.7|24.9|25.5|24.6|25.2|25.1|24.1|23.1|26.7|43. Current Constraints to Saving Money: NOT HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
High cost of everyday transportation|25.0|21.5|35.3|17.4|22.1|26.7|24.9|25.6|24.3|24.9|25.7|25.1|25.0|25.6|24.6|24.2|23.8|26.1|43. Current Constraints to Saving Money: NOT HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
High cost of goods|23.3|19.9|25.8|17.8|20.2|25.1|22.9|23.8|22.4|23.7|23.5|23.2|23.3|23.7|23.0|22.5|22.7|23.7|43. Current Constraints to Saving Money: NOT HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: NOT HINDRANCE
NONE|36.1|36.7|29.1|41.2|35.7|34.2|38.6|33.5|35.7|36.0|39.0|36.4|35.7|37.2|35.1|35.1|34.0|37.8|43. Current Constraints to Saving Money: NOT HINDRANCE
