Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||43. Current Constraints to Saving Money: SMALL HINDRANCE
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|43. Current Constraints to Saving Money: SMALL HINDRANCE
BASE- Total interviews:|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|43. Current Constraints to Saving Money: SMALL HINDRANCE
Total|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|43. Current Constraints to Saving Money: SMALL HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|43. Current Constraints to Saving Money: SMALL HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
Finding a secured job|35.2|33.6|35.0|38.0|32.3|34.7|37.4|34.6|35.7|34.7|35.8|35.7|34.8|35.6|34.9|35.0|34.0|36.3|43. Current Constraints to Saving Money: SMALL HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
High cost of everyday transportation|30.7|32.5|28.5|33.5|32.3|31.3|28.4|31.4|31.3|30.5|29.6|30.3|31.2|29.8|31.1|32.8|33.1|28.7|43. Current Constraints to Saving Money: SMALL HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
High cost of goods|29.8|32.6|39.8|34.2|31.9|28.8|29.4|31.8|30.3|28.9|28.5|29.9|29.7|28.6|30.6|32.1|31.1|28.7|43. Current Constraints to Saving Money: SMALL HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
Lack of capital for business or livelihood|29.1|32.3|32.3|33.9|31.9|28.7|27.4|30.0|29.2|28.7|28.8|28.7|29.6|28.0|29.9|30.7|31.2|27.4|43. Current Constraints to Saving Money: SMALL HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
Small salary|25.4|27.3|32.2|29.1|26.6|25.1|24.6|27.4|25.1|25.1|24.6|24.9|26.0|24.2|25.9|28.4|26.8|24.3|43. Current Constraints to Saving Money: SMALL HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
Unexpected expenses caused by disasters like typhoons, floods, and armed conflict|20.9|22.3|16.7|26.7|21.3|19.7|21.8|19.5|21.3|21.3|20.9|20.8|20.9|21.1|21.0|19.7|22.6|19.5|43. Current Constraints to Saving Money: SMALL HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
Illness in the family|20.7|21.5|23.6|25.1|20.5|20.0|21.1|21.8|19.9|21.3|20.1|19.9|21.5|19.9|21.6|20.8|21.0|20.4|43. Current Constraints to Saving Money: SMALL HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
Lots of loans|18.0|18.3|25.1|18.4|18.1|18.0|17.9|18.1|17.1|18.5|18.9|18.0|18.1|17.9|18.1|18.5|18.4|17.7|43. Current Constraints to Saving Money: SMALL HINDRANCE
|||||||||||||||||||43. Current Constraints to Saving Money: SMALL HINDRANCE
NONE|28.5|27.7|29.0|25.3|28.3|28.1|29.7|27.1|28.0|28.8|30.1|28.2|28.8|29.1|28.2|27.2|27.2|29.6|43. Current Constraints to Saving Money: SMALL HINDRANCE
