Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||42. Current Savings
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|42. Current Savings
BASE- Total inteviews:|||||||||||||||||||42. Current Savings
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|42. Current Savings
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|42. Current Savings
|||||||||||||||||||42. Current Savings
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|42. Current Savings
|||||||||||||||||||42. Current Savings
Have enough savings for 3 or more months of expenses|21.4|32.3|51.3|36.1|30.5|20.5|14.5|21.7|22.0|22.0|19.7|21.9|21.0|22.2|19.6|24.1|22.9|20.2|42. Current Savings
|||||||||||||||||||42. Current Savings
Have enough savings for 1 or 2 months of expenses|19.4|24.6|22.8|33.3|22.2|19.3|15.8|20.3|19.6|18.9|19.1|20.2|18.7|19.8|18.5|21.1|19.6|19.3|42. Current Savings
|||||||||||||||||||42. Current Savings
Have enough savings for 3 weeks of expenses|19.4|18.7|15.9|17.5|19.2|21.0|17.1|19.9|20.5|18.9|17.9|19.1|19.6|19.1|19.5|19.8|19.6|19.1|42. Current Savings
|||||||||||||||||||42. Current Savings
Lacks savings in hand for 3 weeks of expenses|22.7|14.8|4.8|7.2|17.3|22.6|28.9|20.7|22.6|23.3|23.9|22.1|23.3|22.3|24.8|17.8|21.3|23.9|42. Current Savings
|||||||||||||||||||42. Current Savings
Refused|15.3|7.3|1.6|4.3|8.3|15.0|21.9|14.5|13.8|15.6|17.6|14.7|15.8|15.0|16.1|13.8|14.5|15.9|42. Current Savings
|||||||||||||||||||42. Current Savings
Don't Know|*|0.6|1.7|0.6|0.6|*|*|*|*|*|*|*|*|*|*|0.5|*|*|42. Current Savings
