Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||58. Fairness of Treatment from Gov Agencies - Fair
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|58. Fairness of Treatment from Gov Agencies - Fair
BASE - Total interviews:|||||||||||||||||||58. Fairness of Treatment from Gov Agencies - Fair
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|58. Fairness of Treatment from Gov Agencies - Fair
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|58. Fairness of Treatment from Gov Agencies - Fair
|||||||||||||||||||58. Fairness of Treatment from Gov Agencies - Fair
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|58. Fairness of Treatment from Gov Agencies - Fair
|||||||||||||||||||58. Fairness of Treatment from Gov Agencies - Fair
Barangay Officials|44.9|40.1|39.3|35.9|41.3|44.5|49.4|49.4|42.8|44.0|45.1|44.8|45.0|43.5|45.0|49.7|36.9|51.6|58. Fairness of Treatment from Gov Agencies - Fair
Municipal Officials|39.1|35.4|32.4|32.3|36.3|38.2|43.5|43.2|38.0|38.0|38.5|39.2|39.1|37.9|39.2|43.0|31.9|45.2|58. Fairness of Treatment from Gov Agencies - Fair
Military|37.6|36.6|49.1|36.2|36.4|36.7|39.9|42.3|37.3|36.3|35.5|38.3|36.9|36.7|36.4|44.8|32.0|42.3|58. Fairness of Treatment from Gov Agencies - Fair
None|37.0|40.2|29.4|43.5|39.6|38.2|32.6|31.8|37.9|38.6|38.3|37.0|37.0|38.9|36.6|31.2|44.6|30.6|58. Fairness of Treatment from Gov Agencies - Fair
Police|29.9|26.2|28.6|24.7|26.5|29.1|33.9|32.9|29.0|28.2|30.3|29.9|29.8|29.0|29.5|34.2|22.3|36.2|58. Fairness of Treatment from Gov Agencies - Fair
Courts|25.6|22.1|21.9|20.4|22.7|25.1|29.2|28.9|25.2|24.8|24.2|25.2|26.1|24.0|26.0|30.3|19.8|30.5|58. Fairness of Treatment from Gov Agencies - Fair
Fiscal|25.4|21.4|18.6|19.3|22.1|24.9|29.5|28.0|26.3|24.8|22.7|25.6|25.3|23.8|26.1|29.3|19.5|30.5|58. Fairness of Treatment from Gov Agencies - Fair
