Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||58. Fairness of Treatment from Gov Agencies - Unfair
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|58. Fairness of Treatment from Gov Agencies - Unfair
BASE - Total interviews:|||||||||||||||||||58. Fairness of Treatment from Gov Agencies - Unfair
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|58. Fairness of Treatment from Gov Agencies - Unfair
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|58. Fairness of Treatment from Gov Agencies - Unfair
|||||||||||||||||||58. Fairness of Treatment from Gov Agencies - Unfair
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|58. Fairness of Treatment from Gov Agencies - Unfair
|||||||||||||||||||58. Fairness of Treatment from Gov Agencies - Unfair
Courts|64.9|69.7|69.9|73.1|68.7|65.3|60.8|59.9|65.5|66.7|66.6|65.7|64.2|67.4|64.0|59.0|72.2|58.8|58. Fairness of Treatment from Gov Agencies - Unfair
Police|63.8|68.0|66.2|70.7|67.3|64.5|59.6|60.1|65.0|65.6|63.4|64.0|63.7|65.4|63.4|59.6|72.0|57.0|58. Fairness of Treatment from Gov Agencies - Unfair
Fiscal|63.2|68.6|73.1|72.8|67.2|63.8|57.9|58.8|62.5|65.0|65.9|63.3|63.0|65.8|61.9|57.5|70.7|56.8|58. Fairness of Treatment from Gov Agencies - Unfair
Municipal Officials|55.7|59.0|65.8|63.8|57.4|57.2|50.8|50.8|56.8|57.6|56.5|55.7|55.8|57.3|55.5|51.2|62.7|49.9|58. Fairness of Treatment from Gov Agencies - Unfair
Barangay Officials|51.8|55.6|57.5|61.7|53.8|52.7|47.4|46.8|53.6|53.2|52.0|51.9|51.7|53.5|51.6|46.4|59.3|45.5|58. Fairness of Treatment from Gov Agencies - Unfair
Military|51.5|52.0|41.0|54.9|51.5|52.0|50.2|46.0|51.7|53.3|53.8|51.4|51.5|53.3|52.0|43.4|57.1|46.7|58. Fairness of Treatment from Gov Agencies - Unfair
None|19.1|15.8|19.0|13.5|16.3|18.8|22.0|22.2|18.6|17.4|18.8|18.8|19.3|17.7|19.3|23.0|13.2|24.0|58. Fairness of Treatment from Gov Agencies - Unfair
