Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted |10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|2. Ideas of Life Status - EDUCATION OF CHILDREN
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|2. Ideas of Life Status - EDUCATION OF CHILDREN
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|2. Ideas of Life Status - EDUCATION OF CHILDREN
Can send all my children to college|74.4|84.4|83|86.7|83.8|75|65.5|75.3|75.7|74.8|71.2|73|75.7|74|73.1|79.8|76.7|72.4|2. Ideas of Life Status - EDUCATION OF CHILDREN
Can send all my children to public school until high school|14.2|8.5|11.4|7.4|8.7|13.2|20.2|13.1|13.3|14.5|15.9|14.9|13.4|14.5|15|10.4|12.5|15.6|2. Ideas of Life Status - EDUCATION OF CHILDREN
Can send all my children to vocational school|5.9|3.5|3.9|2.8|3.7|6.2|7.2|5.2|5.7|5.9|6.7|6.2|5.5|6.2|6.2|3.9|5.8|5.9|2. Ideas of Life Status - EDUCATION OF CHILDREN
Can send all my children to private school until high school|4.6|2.8|1.7|2.5|2.9|4.7|5.9|4.8|4.6|4.3|4.7|4.7|4.5|4.3|5|4.4|3.8|5.3|2. Ideas of Life Status - EDUCATION OF CHILDREN
NA|-|-|-|-|-|*|-|-|-|*|-|-|-|-|*|-|-|-|2. Ideas of Life Status - EDUCATION OF CHILDREN
Refused (vol.)|*|*|-|0.6|*|*|*|*|*|-|0.5|*|*|*|*|*|*|*|2. Ideas of Life Status - EDUCATION OF CHILDREN
Don't Know (vol.)|0.7|0.5|-|-|0.6|0.7|1|1.3|0.5|*|1|1|0.5|0.7|0.6|1.3|0.9|0.6|2. Ideas of Life Status - EDUCATION OF CHILDREN
