Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted |10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|2. Ideas of Life Status - OCCUPATION
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|2. Ideas of Life Status - OCCUPATION
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|2. Ideas of Life Status - OCCUPATION
Has good source of income or job that has enough salary for my needs.|43.8|40.1|36.2|38.2|40.7|42.1|49.6|44|41.6|46.5|43.9|45.2|42.4|43.5|45.3|40.3|43.2|44.4|2. Ideas of Life Status - OCCUPATION
Has own business with enough earnings or revenue for my needs|28.7|28.9|26.9|30.2|28.7|29.6|26.9|23.5|29.6|29.8|30.6|27|30.3|29.9|29|23|28.5|28.8|2. Ideas of Life Status - OCCUPATION
Has own business with high earnings or revenue|14.8|18.3|33.6|18.3|17.7|14.9|12|14.3|15.5|13.5|15.9|14.1|15.6|14.9|14.4|16|15.7|14.1|2. Ideas of Life Status - OCCUPATION
Has high level job with big salary|12.6|12.7|3.2|13|12.9|13.2|11.4|18|13.2|10.1|9.6|13.6|11.5|11.6|11.1|20.3|12.4|12.7|2. Ideas of Life Status - OCCUPATION
NA|-|-|-|-|-|*|-|-|-|*|-|-|-|-|*|-|-|-|2. Ideas of Life Status - OCCUPATION
Refused (vol.)|-|-|-|-|*|-|-|*|-|-|-|-|-|-|-|*|-|-|2. Ideas of Life Status - OCCUPATION
Don't Know (vol.)|*|-|-|*|-|*|*|*|-|-|*|*|*|-|-|*|*|*|2. Ideas of Life Status - OCCUPATION
