Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted|10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|30. Important Economic Attainment: Rank 1
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|30. Important Economic Attainment: Rank 1
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|30. Important Economic Attainment: Rank 1
a. No one is poor|28.7|29|26.7|33.4|27.9|28|29.5|29.2|26.7|28.3|31.6|29.3|28|29.5|28.4|26.8|29.8|27.8|30. Important Economic Attainment: Rank 1
b. No one is hungry|25.7|25.9|20.6|21.9|27.2|26.1|24.8|24.2|25.9|27.7|24.2|26|25.3|25.3|26.1|25.8|27.2|24.4|30. Important Economic Attainment: Rank 1
g. All Filipinos have a chance for job that is adequate for a comfortable life in their own country|18.2|18.5|34.9|18|18.1|18.7|17.2|20.3|18.7|16.8|17.5|16.3|20.2|17.4|18.3|21|16.6|19.6|30. Important Economic Attainment: Rank 1
h. All Filipino families have their own house|9.1|6.8|6.1|5.7|7.1|9.4|10.5|9.4|8.9|9.4|8.9|9.6|8.7|8.9|9.6|8.6|7.9|10.2|30. Important Economic Attainment: Rank 1
e. Everyone, even the poor, can go to college|7|7.7|4.9|8|7.7|7|6.4|6.8|6.9|7.6|6.6|7.3|6.7|7.4|6.7|6.6|7.1|6.9|30. Important Economic Attainment: Rank 1
f. Everyone, even the poor, can get treatment when sick|5.2|4.9|-|5.5|4.9|5|5.7|4.4|5.8|5.2|5|5|5.4|5.5|4.8|5|5.2|5.2|30. Important Economic Attainment: Rank 1
c. Everyone has modern lifestyle|4.1|4.7|-|5|4.7|3.7|4.2|3.7|5|3.2|4.1|4.4|3.8|4.2|4|3.9|4|4.1|30. Important Economic Attainment: Rank 1
d. The country is a world leader in the field of science and technology|2|2.5|6.9|2.6|2.4|2|1.6|2|2|1.8|2.1|2.1|1.9|1.9|2.1|2.2|2.2|1.8|30. Important Economic Attainment: Rank 1
