Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||41. Incidence of Saving in the Past Year
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|41. Incidence of Saving in the Past Year
BASE- Total inteviews:|||||||||||||||||||41. Incidence of Saving in the Past Year
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|41. Incidence of Saving in the Past Year
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|41. Incidence of Saving in the Past Year
|||||||||||||||||||41. Incidence of Saving in the Past Year
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|41. Incidence of Saving in the Past Year
|||||||||||||||||||41. Incidence of Saving in the Past Year
Was able to get by|50.3|49.6|38.3|45.4|51.1|50.9|49.9|48.1|50.5|50.4|51.9|50.9|49.6|50.6|51.1|46.8|50.1|50.5|41. Incidence of Saving in the Past Year
|||||||||||||||||||41. Incidence of Saving in the Past Year
Have saved money|17.6|27.2|43.6|35.3|24.3|16.5|12.2|20.1|18.0|17.8|14.7|17.8|17.5|18.0|15.8|21.8|19.2|16.3|41. Incidence of Saving in the Past Year
|||||||||||||||||||41. Incidence of Saving in the Past Year
Have not saved money|15.5|7.5|1.6|4.6|8.6|15.2|22.1|14.9|14.0|15.8|17.8|14.9|16.1|15.2|16.3|14.2|14.9|16.0|41. Incidence of Saving in the Past Year
|||||||||||||||||||41. Incidence of Saving in the Past Year
Spent savings|10.0|11.9|15.1|10.0|12.3|10.0|8.6|9.7|10.6|9.8|9.6|9.7|10.3|9.8|10.0|10.6|10.5|9.6|41. Incidence of Saving in the Past Year
|||||||||||||||||||41. Incidence of Saving in the Past Year
Spent savings and borrowed money or Loaned or asked help in|6.4|3.6|1.4|4.5|3.4|7.2|7.1|6.7|6.7|6.1|6.0|6.4|6.3|6.2|6.6|6.1|5.1|7.4|41. Incidence of Saving in the Past Year
|||||||||||||||||||41. Incidence of Saving in the Past Year
Refused (vol.)|*|*|-|-|*|-|*|*|*|-|-|*|*|*|*|*|*|*|41. Incidence of Saving in the Past Year
|||||||||||||||||||41. Incidence of Saving in the Past Year
Don't Know (vol.)|*|*|-|*|*|*|*|*|-|*|-|*|-|-|*|*|*|*|41. Incidence of Saving in the Past Year
