Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted|10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|17. Preferred Type of Occupation ---- SCALE
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|17. Preferred Type of Occupation ---- SCALE
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|17. Preferred Type of Occupation ---- SCALE
1 (Work for other people or company) |5.1|7|6.3|6.1|7.3|5.2|3.6|9|5.1|4.2|2.9|5.8|4.4|4.6|3.9|10.8|6.8|3.8|17. Preferred Type of Occupation ---- SCALE
2.0|5.7|7.0|11.5|6.3|7.1|5.7|4.9|7.8|6.1|4.8|4.5|6.6|4.8|5.4|5.3|8.6|7.4|4.3|17. Preferred Type of Occupation ---- SCALE
3.0|7.0|5.2|3.7|4.3|5.5|7.0|8.5|8.0|7.7|6.1|6.2|7.3|6.7|6.7|6.7|9.0|6.2|7.7|17. Preferred Type of Occupation ---- SCALE
4.0|12.1|11.9|10.8|12.2|11.8|12.0|12.5|13.2|12.0|12.7|10.6|11.9|12.3|10.9|12.8|14.2|12.4|11.9|17. Preferred Type of Occupation ---- SCALE
5.0|16.4|16.7|24.7|20.1|15.4|15.9|17.2|13.9|17.2|16.8|17.1|15.9|17.0|16.6|17.3|13.1|17.1|15.9|17. Preferred Type of Occupation ---- SCALE
6.0|21.6|21.0|14.3|18.9|21.9|22.2|21.0|19.2|20.8|22.2|24.0|21.3|21.8|21.9|22.5|17.5|21.8|21.4|17. Preferred Type of Occupation ---- SCALE
7 (Own business or livelihood)|31.8|30.8|28.7|32.1|30.6|32.1|32.2|28.7|31|32.9|34.6|31|32.7|33.7|31.3|26.8|28.2|34.9|17. Preferred Type of Occupation ---- SCALE
