Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||49. Satisfaction on Schools in Community: DISSATISFIED
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|49. Satisfaction on Schools in Community: DISSATISFIED
BASE- Total interviews:|||||||||||||||||||49. Satisfaction on Schools in Community: DISSATISFIED
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|49. Satisfaction on Schools in Community: DISSATISFIED
Total|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|49. Satisfaction on Schools in Community: DISSATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: DISSATISFIED
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|49. Satisfaction on Schools in Community: DISSATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: DISSATISFIED
Private Elementary School|22.8|20.6|24.7|18.2|21.1|22.5|25.2|22.1|23.6|22.5|22.8|22.5|23.2|22.2|23.8|22.5|22.6|23.1|49. Satisfaction on Schools in Community: DISSATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: DISSATISFIED
Private University|22.7|20.0|14.6|16.4|21.2|22.5|25.0|21.9|24.0|22.6|21.5|22.8|22.5|22.8|23.1|21.2|22.3|23.0|49. Satisfaction on Schools in Community: DISSATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: DISSATISFIED
Private High School|22.6|20.7|20.0|18.2|21.5|21.8|25.4|21.7|23.8|22.4|22.0|22.7|22.5|22.6|23.2|20.8|22.5|22.7|49. Satisfaction on Schools in Community: DISSATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: DISSATISFIED
Technical or Vocational school|19.8|19.0|19.8|18.9|18.9|19.7|20.5|19.1|20.5|20.2|18.9|19.7|19.9|19.7|20.0|19.5|19.7|19.8|49. Satisfaction on Schools in Community: DISSATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: DISSATISFIED
Public Elementary School|19.2|23.1|35.1|25.2|22.2|17.9|18.4|18.2|21.2|18.5|18.1|19.1|19.3|19.0|19.9|17.9|19.6|18.9|49. Satisfaction on Schools in Community: DISSATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: DISSATISFIED
Public High School|19.2|21.2|33.4|21.5|20.6|18.2|19.2|17.8|20.2|18.9|19.2|18.8|19.5|19.3|19.3|18.2|19.9|18.6|49. Satisfaction on Schools in Community: DISSATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: DISSATISFIED
Public University|18.6|18.6|17.7|16.4|19.2|18.0|19.7|16.2|19.8|19.8|17.6|18.4|18.9|19.0|19.0|16.1|18.3|18.9|49. Satisfaction on Schools in Community: DISSATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: DISSATISFIED
NONE|53.0|52.7|44.7|53.1|52.8|53.9|51.8|54.5|51.3|52.4|55.0|53.1|53.0|52.6|52.9|54.8|51.5|54.3|49. Satisfaction on Schools in Community: DISSATISFIED
