Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||49. Satisfaction on Schools in Community: SATISFIED
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|49. Satisfaction on Schools in Community: SATISFIED
BASE- Total interviews:|||||||||||||||||||49. Satisfaction on Schools in Community: SATISFIED
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|49. Satisfaction on Schools in Community: SATISFIED
Total|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|49. Satisfaction on Schools in Community: SATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: SATISFIED
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|49. Satisfaction on Schools in Community: SATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: SATISFIED
Public Elementary School|80.2|76.0|64.9|73.7|77.0|81.6|81.1|81.4|78.1|80.9|81.3|80.4|80.0|80.4|79.5|81.6|79.5|80.7|49. Satisfaction on Schools in Community: SATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: SATISFIED
Public High School|79.2|76.9|66.6|75.9|77.5|80.6|78.6|80.6|77.8|79.5|79.5|79.4|78.9|78.7|79.1|80.9|78.6|79.6|49. Satisfaction on Schools in Community: SATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: SATISFIED
Public University|69.8|73.4|73.8|77.9|72.1|71.1|64.9|70.4|69.9|68.6|70.7|69.6|70.0|68.9|69.7|73.5|71.5|68.4|49. Satisfaction on Schools in Community: SATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: SATISFIED
Technical or Vocational school|66.4|69.0|68.6|72.1|68.2|67.2|63.0|65.0|67.3|66.2|66.5|66.4|66.4|66.1|66.7|66.3|66.9|66.0|49. Satisfaction on Schools in Community: SATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: SATISFIED
Private Elementary School|65.4|71.5|75.3|75.5|70.3|65.8|59.9|66.1|65.5|65.6|64.4|65.5|65.3|65.5|64.7|67.3|66.7|64.3|49. Satisfaction on Schools in Community: SATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: SATISFIED
Private High School|64.7|71.0|80.0|75.2|69.4|65.3|58.8|66.4|64.4|64.6|63.8|64.4|65.1|63.9|64.3|68.9|65.5|64.0|49. Satisfaction on Schools in Community: SATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: SATISFIED
Private University|61.7|69.2|78.6|76.4|66.9|62.3|54.9|62.0|61.9|61.4|61.5|60.9|62.5|60.6|61.6|65.9|63.4|60.3|49. Satisfaction on Schools in Community: SATISFIED
|||||||||||||||||||49. Satisfaction on Schools in Community: SATISFIED
NONE|6.1|5.0|4.8|4.6|5.1|5.5|7.9|5.2|7.0|5.6|6.2|6.0|6.2|6.2|6.3|5.0|5.7|6.4|49. Satisfaction on Schools in Community: SATISFIED
