Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||54. Whether Have Job Security
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|54. Whether Have Job Security
BASE - Total interviews:|||||||||||||||||||54. Whether Have Job Security
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|54. Whether Have Job Security
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|54. Whether Have Job Security
|||||||||||||||||||54. Whether Have Job Security
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|54. Whether Have Job Security
|||||||||||||||||||54. Whether Have Job Security
Have high security |10.1|15.9|37.8|22.0|13.4|9.1|7.1|10.3|9.9|10.5|9.6|10.6|9.5|11.7|8.0|10.8|11.2|9.1|54. Whether Have Job Security
Have just right security|43.5|51.8|42.4|50.2|52.6|44.9|35.0|38.9|44.4|43.5|46.5|44.2|42.9|49.3|39.0|37.0|45.5|41.9|54. Whether Have Job Security
Have few security |26.4|18.2|8.8|14.6|19.5|26.5|32.7|21.0|25.5|29.6|28.8|28.2|24.6|29.9|24.9|18.5|24.9|27.7|54. Whether Have Job Security
No security |7.7|2.7|-|1.7|3.1|6.1|14.2|5.1|7.6|8.7|9.0|8.0|7.3|8.6|7.5|5.1|6.5|8.7|54. Whether Have Job Security
I don’t have a job at present|11.5|10.3|11.0|10.3|10.3|12.6|10.7|22.7|11.9|7.2|6.0|8.2|14.9|*|19.9|26.5|10.8|12.1|54. Whether Have Job Security
Refused (vol.)|*|*|-|*|*|0.5|*|0.7|*|*|*|*|*|*|*|0.6|0.5|*|54. Whether Have Job Security
Don't Know (vol.)|*|0.7|-|0.8|0.7|*|*|1.3|*|*|*|*|*|*|*|1.6|0.6|*|54. Whether Have Job Security
