Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||55. Whether Have Plan to Have a Business
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|55. Whether Have Plan to Have a Business
BASE - Total interviews:|||||||||||||||||||55. Whether Have Plan to Have a Business
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|55. Whether Have Plan to Have a Business
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|55. Whether Have Plan to Have a Business
|||||||||||||||||||55. Whether Have Plan to Have a Business
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|55. Whether Have Plan to Have a Business
|||||||||||||||||||55. Whether Have Plan to Have a Business
Yes|92.0|92.8|93.6|93.8|92.5|92.1|91.1|90.1|92.8|92.6|91.8|91.0|93.0|92.5|92.3|89.3|91.8|92.2|55. Whether Have Plan to Have a Business
None|6.6|5.0|4.5|4.4|5.3|6.7|7.7|7.7|5.9|6.2|7.2|7.4|5.8|6.5|6.2|8.3|6.3|6.9|55. Whether Have Plan to Have a Business
Refused (vol.)|*|*|-|-|*|*|*|-|*|*|-|*|*|*|*|-|*|*|55. Whether Have Plan to Have a Business
Don't Know (vol.)|1.3|2.1|1.9|1.9|2.1|1.2|1.1|2.2|1.3|1.1|1.0|1.5|1.2|1.0|1.4|2.4|1.9|0.9|55. Whether Have Plan to Have a Business
