Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||44. Whether Owns House Currently Live in
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|44. Whether Owns House Currently Live in
BASE- Total inteviews:|||||||||||||||||||44. Whether Owns House Currently Live in
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|44. Whether Owns House Currently Live in
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|44. Whether Owns House Currently Live in
|||||||||||||||||||44. Whether Owns House Currently Live in
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|44. Whether Owns House Currently Live in
|||||||||||||||||||44. Whether Owns House Currently Live in
Own or owner-like possession of house and lot|56.1|64.8|71.8|68.7|63.5|56.8|48.0|58.6|53.8|55.1|58.2|58.0|54.1|55.2|55.4|61.3|53.4|58.3|44. Whether Owns House Currently Live in
|||||||||||||||||||44. Whether Owns House Currently Live in
Own house, rent-free lot with consent of owner|16.9|9.7|3.3|6.5|10.8|16.4|23.2|17.8|16.7|16.5|16.7|15.8|18.0|17.0|16.8|16.6|12.8|20.3|44. Whether Owns House Currently Live in
|||||||||||||||||||44. Whether Owns House Currently Live in
Rent house/room, including lot|10.4|15.2|19.9|17.6|14.4|10.1|7.1|7.8|12.4|11.9|8.1|9.9|10.9|11.3|10.5|7.0|18.2|3.8|44. Whether Owns House Currently Live in
|||||||||||||||||||44. Whether Owns House Currently Live in
Rent-free house and lot with consent of owner|8.6|4.8|-|2.3|5.7|8.7|11.4|7.1|9.1|8.8|9.1|8.3|9.0|8.5|9.8|5.7|6.5|10.4|44. Whether Owns House Currently Live in
|||||||||||||||||||44. Whether Owns House Currently Live in
Own house, rent lot|3.8|2.5|5.1|1.9|2.6|3.6|5.4|4.1|4.2|3.3|3.8|4.0|3.7|3.9|3.6|4.5|4.2|3.5|44. Whether Owns House Currently Live in
|||||||||||||||||||44. Whether Owns House Currently Live in
Own house, rent-free lot without consent of owner|3.2|2.0|-|2.1|2.1|3.4|3.9|3.4|3.0|3.3|3.3|3.2|3.3|3.2|3.0|3.9|3.6|2.9|44. Whether Owns House Currently Live in
|||||||||||||||||||44. Whether Owns House Currently Live in
Rent-free house and lot without consent of owner|0.7|0.7|-|0.6|0.7|0.6|0.7|0.7|0.6|0.9|0.6|0.7|0.7|0.6|0.7|0.7|0.9|0.5|44. Whether Owns House Currently Live in
|||||||||||||||||||44. Whether Owns House Currently Live in
DON’T KNOW|*|*|-|*|*|*|*|*|*|*|-|*|*|*|*|*|*|*|44. Whether Owns House Currently Live in
|||||||||||||||||||44. Whether Owns House Currently Live in
REFUSED|*|*|-|-|*|*|*|*|*|*|*|*|*|*|*|*|*|*|44. Whether Owns House Currently Live in
