Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||53. Whether Worried on Having Job or Source of Income
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|53. Whether Worried on Having Job or Source of Income
BASE- Total interviews:|||||||||||||||||||53. Whether Worried on Having Job or Source of Income
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|53. Whether Worried on Having Job or Source of Income
Total|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|53. Whether Worried on Having Job or Source of Income
|||||||||||||||||||53. Whether Worried on Having Job or Source of Income
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|53. Whether Worried on Having Job or Source of Income
|||||||||||||||||||53. Whether Worried on Having Job or Source of Income
I worry about my job or source of income always or everyday|36.6|29.2|21.7|26.6|30.2|34.7|45.4|31.1|35.8|37.4|41.6|36.1|37.1|36.8|38.8|28.9|30.8|41.4|53. Whether Worried on Having Job or Source of Income
|||||||||||||||||||53. Whether Worried on Having Job or Source of Income
I worry about my job or source of income often|30.0|24.1|18.9|18.6|25.8|33.1|29.6|29.6|30.3|31.0|28.8|30.3|29.7|30.1|31.1|26.5|30.5|29.6|53. Whether Worried on Having Job or Source of Income
|||||||||||||||||||53. Whether Worried on Having Job or Source of Income
I seldom worry about my job or source of income|25.1|33.3|25.9|39.7|31.8|24.0|20.4|26.6|26.2|24.2|23.1|25.2|25.0|25.4|23.2|29.6|27.5|23.0|53. Whether Worried on Having Job or Source of Income
|||||||||||||||||||53. Whether Worried on Having Job or Source of Income
I do not worry about my job or source of income|7.1|12.2|31.7|14.5|10.9|6.8|3.7|9.4|6.8|6.7|6.0|7.2|7.0|7.1|6.0|10.7|9.6|5.0|53. Whether Worried on Having Job or Source of Income
|||||||||||||||||||53. Whether Worried on Having Job or Source of Income
Refused (vol.)|0.8|0.6|1.7|*|0.6|1.0|*|1.5|0.7|0.7|*|0.8|0.8|0.6|0.6|1.8|0.9|0.6|53. Whether Worried on Having Job or Source of Income
|||||||||||||||||||53. Whether Worried on Having Job or Source of Income
Don't Know (vol.)|*|0.6|-|*|0.7|*|*|1.9|*|*|*|*|*|-|*|2.4|0.6|*|53. Whether Worried on Having Job or Source of Income
