Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||61. Agreement on Statements on Corruption in Local Offices - A LOT
|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|61. Agreement on Statements on Corruption in Local Offices - A LOT
BASE - Total interviews:|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - A LOT
Unweighted|10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|61. Agreement on Statements on Corruption in Local Offices - A LOT
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|61. Agreement on Statements on Corruption in Local Offices - A LOT
|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - A LOT
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|61. Agreement on Statements on Corruption in Local Offices - A LOT
|||||||||||||||||||61. Agreement on Statements on Corruption in Local Offices - A LOT
Local BIR offices|27.6|33.2|39.6|34.0|32.8|27.9|22.8|25.4|28.1|28.0|28.2|28.0|27.1|29.0|26.9|24.6|33.2|22.8|61. Agreement on Statements on Corruption in Local Offices - A LOT
Local courts|24.3|27.9|25.8|27.3|28.1|25.2|20.0|25.1|23.4|24.6|24.5|25.6|22.9|25.5|23.1|23.6|28.4|20.8|61. Agreement on Statements on Corruption in Local Offices - A LOT
Your local police department|23.4|27.5|32.3|29.2|26.8|24.2|18.9|21.9|23.9|24.3|22.9|24.3|22.4|24.1|23.1|21.5|28.1|19.4|61. Agreement on Statements on Corruption in Local Offices - A LOT
Local seaport or airport in your area|22.6|28.0|29.7|27.6|28.1|22.3|18.8|22.3|22.1|22.8|23.3|22.7|22.5|23.0|22.1|22.3|27.3|18.6|61. Agreement on Statements on Corruption in Local Offices - A LOT
Your provincial government|22.2|23.7|28.4|23.4|23.6|23.2|19.3|19.7|23.1|22.8|22.4|23.4|21.0|23.5|21.6|19.3|23.7|20.9|61. Agreement on Statements on Corruption in Local Offices - A LOT
Your local municipality or city|20.1|21.7|21.7|22.5|21.5|21.7|16.3|18.1|20.7|21.1|19.9|21.4|18.8|21.4|19.3|18.3|23.1|17.6|61. Agreement on Statements on Corruption in Local Offices - A LOT
Local agricultural agency offices|18.4|20.6|29.4|21.2|20.1|18.8|16.0|17.0|18.2|18.9|19.3|19.0|17.8|19.2|18.2|16.2|21.9|15.4|61. Agreement on Statements on Corruption in Local Offices - A LOT
Your barangay|15.9|17.0|21.8|18.5|16.4|17.1|13.0|14.6|16.9|16.3|15.2|16.5|15.3|16.4|16.0|13.8|18.1|14.0|61. Agreement on Statements on Corruption in Local Offices - A LOT
Local Hospital or Health Center|12.5|13.2|16.7|15.4|12.4|13.5|10.4|11.5|12.4|14.1|12.0|13.0|12.1|13.0|12.4|11.4|14.3|11.0|61. Agreement on Statements on Corruption in Local Offices - A LOT
Public Schools|11.2|11.3|11.9|12.1|11.1|12.2|9.4|10.7|11.4|11.1|11.4|11.1|11.2|11.2|11.4|10.3|12.5|10.0|61. Agreement on Statements on Corruption in Local Offices - A LOT
None|45.5|40.2|28.3|38.5|41.1|44.2|51.8|48.7|43.6|44.3|46.9|44.8|46.3|44.1|45.9|49.4|39.0|51.0|61. Agreement on Statements on Corruption in Local Offices - A LOT
