Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||38. Current Life Status
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|38. Current Life Status
BASE- Total inteviews:|||||||||||||||||||38. Current Life Status
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|38. Current Life Status
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|38. Current Life Status
|||||||||||||||||||38. Current Life Status
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|38. Current Life Status
|||||||||||||||||||38. Current Life Status
More than comfortable|1.3|1.9|9.0|1.7|1.7|1.2|1.1|2.0|1.3|1.0|1.3|1.3|1.4|1.3|1.3|1.7|1.3|1.4|38. Current Life Status
|||||||||||||||||||38. Current Life Status
Comfortable|23.8|37.1|47.0|44.9|34.5|21.6|17.2|26.2|22.9|23.4|23.5|24.4|23.2|24.5|20.7|31.2|25.8|22.2|38. Current Life Status
|||||||||||||||||||38. Current Life Status
Sometimes poor, sometimes comfortable|63.4|56.3|42.3|50.1|58.5|67.4|62.4|62.1|65.4|62.9|62.4|62.4|64.5|62.2|66.4|58.5|61.7|64.9|38. Current Life Status
|||||||||||||||||||38. Current Life Status
Poor|10.9|4.4|1.7|2.8|5.0|8.9|19.3|9.1|9.8|12.3|12.6|11.4|10.4|11.5|11.1|8.2|10.6|11.2|38. Current Life Status
|||||||||||||||||||38. Current Life Status
Refused (vol.)|*|*|-|*|*|0.8|-|0.5|0.6|*|*|*|0.5|*|0.5|0.5|0.7|*|38. Current Life Status
|||||||||||||||||||38. Current Life Status
Don't Know (vol.)|-|-|-|-|-|-|*|*|-|-|-|*|-|-|-|-|*|-|38. Current Life Status
