Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||39. Perceived Income Level ---- SCALE
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|39. Perceived Income Level ---- SCALE
BASE- Total inteviews:|||||||||||||||||||39. Perceived Income Level ---- SCALE
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|39. Perceived Income Level ---- SCALE
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
1 (Lowest Group) (1.00)|6.0|2.2|-|1.0|2.6|4.1|12.1|6.0|5.4|6.7|5.8|6.0|5.9|5.5|6.7|5.3|4.8|6.9|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
2 (2.00)|6.2|2.1|-|1.4|2.3|5.1|11.4|5.7|6.4|5.7|7.2|6.2|6.3|6.1|6.7|5.5|4.6|7.6|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
3 (3.00)|12.0|5.6|3.7|3.4|6.2|11.1|18.3|11.8|11.7|12.0|12.3|12.2|11.7|11.5|12.9|10.6|10.0|13.6|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
4 (4.00)|15.0|8.7|3.7|4.8|10.0|17.0|16.7|14.5|14.7|15.4|15.6|14.8|15.3|15.0|15.9|12.3|14.1|15.8|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
5 (5.00)|29.4|31.7|23.0|24.7|34.0|32.5|22.5|26.5|30.3|30.0|29.9|29.3|29.5|29.9|29.3|27.8|30.7|28.3|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
6 (6.00)|14.7|23.0|19.9|28.5|21.6|14.6|8.3|14.8|15.2|14.8|13.6|14.3|15.0|15.1|13.5|16.6|17.3|12.5|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
7 (7.00)|8.8|15.7|18.1|21.6|14.0|8.0|4.8|9.8|9.3|8.1|8.2|9.0|8.7|8.8|8.2|10.6|10.3|7.6|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
8 (8.00)|3.9|6.9|19.7|10.9|5.3|3.4|2.3|4.4|3.6|3.9|3.9|4.1|3.7|4.2|3.1|5.1|4.3|3.5|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
9 (9.00)|1.5|1.6|4.8|0.9|1.7|1.5|1.4|2.1|1.0|1.4|1.7|1.4|1.5|1.4|1.4|1.9|1.3|1.6|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
10 (Highest Group) (10.00)|2.4|2.3|7.2|2.9|2.0|2.5|2.3|4.2|2.2|1.9|1.8|2.5|2.3|2.2|2.2|3.8|2.5|2.4|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
REFUSED|-|*|-|-|*|-|-|-|*|*|-|*|-|*|-|*|*|-|39. Perceived Income Level ---- SCALE
|||||||||||||||||||39. Perceived Income Level ---- SCALE
DON’T KNOW|*|*|-|-|*|*|-|*|*|-|-|*|-|-|*|*|-|*|39. Perceived Income Level ---- SCALE
