Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||47. Satisfaction on Health Offices in the Community: SATISFIED
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|47. Satisfaction on Health Offices in the Community: SATISFIED
BASE- Total interviews:|||||||||||||||||||47. Satisfaction on Health Offices in the Community: SATISFIED
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|47. Satisfaction on Health Offices in the Community: SATISFIED
Total|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|47. Satisfaction on Health Offices in the Community: SATISFIED
|||||||||||||||||||47. Satisfaction on Health Offices in the Community: SATISFIED
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|47. Satisfaction on Health Offices in the Community: SATISFIED
|||||||||||||||||||47. Satisfaction on Health Offices in the Community: SATISFIED
Public health center|67.0|62.2|53.5|61.4|62.7|67.8|69.5|70.9|65.8|66.5|65.7|67.7|66.3|66.5|66.9|68.9|63.5|69.9|47. Satisfaction on Health Offices in the Community: SATISFIED
|||||||||||||||||||47. Satisfaction on Health Offices in the Community: SATISFIED
Employees from your public health center|66.5|63.1|56.5|63.9|63.1|66.9|68.5|68.3|64.9|67.2|66.3|67.1|65.9|66.6|66.3|66.8|64.0|68.6|47. Satisfaction on Health Offices in the Community: SATISFIED
|||||||||||||||||||47. Satisfaction on Health Offices in the Community: SATISFIED
Public hospital|62.5|58.8|54.7|58.3|59.0|63.7|63.3|65.5|61.6|62.4|60.9|63.6|61.3|62.3|61.9|64.8|60.9|63.8|47. Satisfaction on Health Offices in the Community: SATISFIED
|||||||||||||||||||47. Satisfaction on Health Offices in the Community: SATISFIED
Private hospital|63.0|68.0|75.8|71.7|66.6|63.3|58.5|64.0|63.3|63.1|61.4|63.5|62.4|63.5|61.4|65.9|63.7|62.3|47. Satisfaction on Health Offices in the Community: SATISFIED
|||||||||||||||||||47. Satisfaction on Health Offices in the Community: SATISFIED
Employees from your public hospital|60.8|59.1|61.0|57.7|59.4|61.2|61.4|63.8|59.3|60.6|60.5|62.4|59.2|60.0|60.7|63.4|59.5|61.8|47. Satisfaction on Health Offices in the Community: SATISFIED
|||||||||||||||||||47. Satisfaction on Health Offices in the Community: SATISFIED
NONE|13.6|14.1|11.5|13.8|14.2|13.1|14.2|11.7|14.3|13.0|15.1|13.2|14.1|13.4|14.2|12.8|14.2|13.2|47. Satisfaction on Health Offices in the Community: SATISFIED
