Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
||SEC||||||AGE||||GENDER||WORK STATUS|||LOCALE||46. Whether Have Access to Hospital
|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|46. Whether Have Access to Hospital
BASE- Total inteviews:|||||||||||||||||||46. Whether Have Access to Hospital
Unweighted |10000.0|2280.0|60.0|493.0|1727.0|4784.0|2936.0|1511.0|3057.0|2967.0|2465.0|5002.0|4998.0|4927.0|4058.0|1015.0|4620.0|5380.0|46. Whether Have Access to Hospital
Weighted|10000.0|2260.0|60.0|482.0|1717.0|4820.0|2921.0|1978.0|3211.0|2594.0|2217.0|5032.0|4968.0|4653.0|4042.0|1305.0|4569.0|5431.0|46. Whether Have Access to Hospital
|||||||||||||||||||46. Whether Have Access to Hospital
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|46. Whether Have Access to Hospital
|||||||||||||||||||46. Whether Have Access to Hospital
There is a road and public transportation and we can afford|80.7|89.9|94.6|91.7|89.3|82.0|71.5|80.3|81.1|81.0|80.3|80.4|81.1|81.5|79.6|81.6|85.9|76.4|46. Whether Have Access to Hospital
|||||||||||||||||||46. Whether Have Access to Hospital
There is a road and public transportation but we cannot afford|15.6|8.0|1.7|6.7|8.5|15.0|22.4|15.2|15.5|15.7|16.0|16.1|15.1|15.3|16.2|15.0|11.5|19.0|46. Whether Have Access to Hospital
|||||||||||||||||||46. Whether Have Access to Hospital
There is no road and public transportation|1.4|0.5|-|*|0.6|0.9|2.9|1.2|1.3|1.5|1.4|1.3|1.4|1.3|1.5|1.0|0.9|1.8|46. Whether Have Access to Hospital
|||||||||||||||||||46. Whether Have Access to Hospital
Haven’t been there yet, don’t know where it is|0.5|*|1.7|*|*|*|0.9|0.8|0.5|0.5|*|0.5|0.5|*|0.6|0.9|*|0.6|46. Whether Have Access to Hospital
|||||||||||||||||||46. Whether Have Access to Hospital
None of the above|1.4|1.0|2.0|0.6|1.1|1.2|1.8|1.8|1.3|0.9|1.6|1.2|1.5|1.2|1.5|1.3|0.8|1.8|46. Whether Have Access to Hospital
|||||||||||||||||||46. Whether Have Access to Hospital
Refused (vol.)|*|*|-|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|46. Whether Have Access to Hospital
|||||||||||||||||||46. Whether Have Access to Hospital
Don't Know (vol.)|*|*|-|-|*|*|*|*|*|*|*|*|*|*|*|*|*|*|46. Whether Have Access to Hospital
